id,audio_path,text,caption_1,caption_2,caption_3,caption_4,caption_5,split,file_name,sample_rate,duration_s,loudness,sharpness,roughness,fluctuation_strength_proxy,pr_ecma_st,fluctuation_evr,fluctuation_ami,fluctuation_rms_mod,error,compute_time_s
development/Big_Roundabout_Traffic.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/Big_Roundabout_Traffic.wav,A large vehicle passes by followed by many more.,A large vehicle passes by followed by many more.,Cars drive on a new paved highway and the cars pass by quickly.,Lots of traffic on the interstate today as many car are being passed by a truck.,Traffic on an interstate with a truck passing by some cars.,out on the highway many vehicles passing by continuously,development,Big_Roundabout_Traffic.wav,44100,26.316802721088436,27.06,1.0026857291071645,0.12452888812945913,,0.0,10100.096963450711,1050.0619654374793,0.04160970677150648,"",35.065
"development/windy winter day, wind in trees, leaves, metallic object rattling.wav","/root/clawd/_datasets/clotho_3490684/audio_development/development/windy winter day, wind in trees, leaves, metallic object rattling.wav",A car is driving down a street in the middle of a rain storm.,A car is driving down a street in the middle of a rain storm.,A heavy rain coming down next to a road with traffic noises.,Cars travelling down a highway while rain is coming down on it.,Heavy rain is hitting the ground outside today.,Rain coming down on a highway with cars travelling down it.,development,"windy winter day, wind in trees, leaves, metallic object rattling.wav",44100,15.776235827664399,40.7,1.5904232830450313,0.0981294721345622,,0.0,208.27349333535915,117.01868108773438,0.015457261392377485,"",33.603
development/leaves-penyfridd.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/leaves-penyfridd.wav,As the night goes on it is raining hard and constantly and does not letup.,As the night goes on it is raining hard and constantly and does not letup.,It is raining and a car goes by and soon another one approaches.,It is raining hard and constantly and does not letup.,It is raining outside as cars pass by one after the other.,Rain is falling and hitting a cloth softly.,development,leaves-penyfridd.wav,44100,26.48077097505669,22.06,1.6763074312455741,0.5743664404666393,,0.0,6272.505927526815,825.7509611488127,0.05906861833107709,"",55.684
development/miau.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/miau.wav,"A cat is meowing and crying at a steady pace, without letup.","A cat is meowing and crying at a steady pace, without letup.",A cat is meowing repeatedly and an odd tone is cycling in the background.,"A cat meowing and crying at a steady pace, without letup.",A cat that is meowing is making different sounds.,a cat meowing repeatedly and an odd tone cycling in the background,development,miau.wav,44100,15.836009070294784,24.82,1.5881139390498333,0.8062113178777609,,17.087290135345583,4463.535315775529,544.126533362149,0.09141550934450511,"",13.518
development/dog drinking Water.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/dog drinking Water.wav,A canine is in the kitchen lapping up water from a bowl.,A canine is in the kitchen lapping up water from a bowl.,A dog drinking water from a bowl in the kitchen.,"A dog is lapping up water, then starts lapping it up faster.","A dog starts lapping up water more slowly, but then starts doing it faster.",Liquid is being stirred and someone is breathing nearby.,development,dog drinking Water.wav,44100,26.007891156462584,16.96,1.6869306322589872,3.467230585099504,,0.0,66377.51074805102,3869.6353281560746,0.0329414922877118,"",41.459
development/20160922_passing.lorry.marshes.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/20160922_passing.lorry.marshes.wav,A car pulling up and a crow making some noises.,A car pulling up and a crow making some noises.,A train passing by on a track in the middle of the night.,A train passing through a rural area on a train track,"In the middle of the night, a train passes by on the nearby track.",wildlife noises as a train approaches and passes by,development,20160922_passing.lorry.marshes.wav,44100,27.11798185941043,31.22,1.19838776209699,2.0604512481506205,,0.0,43242.35038966908,1788.041249181066,0.04637494324973648,"",40.923
development/people atmo 3.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/people atmo 3.wav,A bunch of people are talking and someone gets in their car to leave and beeps at someone.,A bunch of people are talking and someone gets in their car to leave and beeps at someone.,"A group of people talk while someone gets in their car to leave, beeping their horn at someone",Faint music plays in the background as a car drives through a rural area.,Men are talking loudly in a parking deck with a car horn blaring in the background.,People are speaking as others are blowing instruments and then a car horn honks.,development,people atmo 3.wav,44100,21.69253968253968,13.647,1.2249517719447127,2.7658738453073326,,0.0,137472.9835402452,5666.7933316530725,0.06121758065506717,"",28.454
development/20101121.sanlucar.street.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/20101121.sanlucar.street.wav,A group of people are speaking to each other in a large crowd.,A group of people are speaking to each other in a large crowd.,A large crowd of people chatting in a public area.,People are chatting with one another as they stroll about.,People are talking to each other and walking around.,Several people talking outside at a large gathering.,development,20101121.sanlucar.street.wav,44100,29.80498866213152,32.42,1.5170192350649185,1.3231957402233692,,0.0,30504.236054042016,1907.5028007321662,0.052012244910894186,"",59.143
development/grass_steps_01.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/grass_steps_01.wav,A person walks over dried leaves to make the crunch sound.,A person walks over dried leaves to make the crunch sound.,Leaves and gravel crunch under the foot of someone going for a stroll.,Shoes are moving down a path covered with twigs and leaves.,Someone steps on leaves in an area with trees.,Someone walking on top of leaves and other debris.,development,grass_steps_01.wav,44100,24.246621315192744,11.393,2.7795363935903414,3.96953818590871,,0.0,13119.647262913046,1066.0134821039046,0.012032104801865577,"",44.799
development/20101228.street.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/20101228.street.wav,A crowded room with a little clinking of glasses or bottles.,A crowded room with a little clinking of glasses or bottles.,A plank being struck as people are conversing with each other.,A very small cafe in the street that is helping people.,People clink glasses and bottles in a crowded room.,Something hitting on a plank in the background and people talking,development,20101228.street.wav,44100,17.291496598639455,27.83,1.3463481845766045,0.10534743163546793,,0.0,1056.7549500227926,240.97370678629565,0.07013746261979995,"",31.16
